			
	REFª	Familia	Subfamilia	PRODUTO	CAPAC	CUSTO	QTD	CUSTO	QTD	VALOR 
						ACTUAL	PEDIDA		RECEBIDA	ANTERIOR
1				Andreia Nail Polish						
2	0UVPA1...	Nails	Nail Polish	Verniz Andreia - Cremoso e Hipoalergénico	10,5ml	0,89 €	10			
3	0UVA14…	Nails	Nail Polish	Verniz Andreia Pocket - cremoso e hipoalergénico	14ml	1,41 €	10			
4				Andreia 14 Ever						
5	0U14ESB1	Nails	14EVER	14EVER Super Base	10,5ml	1,99 €	10			
6	0U14ESCE..	Nails	14EVER	14EVER Super Color	10,5ml	1,40 €	10			
7	0U14ESS1	Nails	14EVER	14EVER Super Shine	10,5ml	1,99 €	10			
8	0U14EC1	Nails	14EVER	Cleanser 14 Ever	50ml	1,63 €	10			
9				Andreia Breathable						
10	0UABNPB	Nails	Breathable	Breathable Nail Polish	10,5ml	1,90 €	10			
11	0UABOB1	Nails	Breathable	Breathable Base 	10,5ml	1,90 €	10			
12	0UABTC1	Nails	Breathable	Breathable Top Coat	10,5ml	1,90 €	10			
13	0UAR1	Nails	Breathable	Remover Nail Polish - Wow Remove & Go 75 ml 	75ml	2,35 €	10			
14				Andreia Extreme Care						
15	0ECWM1	Nails	Treatments	Extreme Care Whitening Mask / Máscara Branqueadora	10,5ml	1,81 €	10			
16	0ECC1	Nails	Treatments	Extreme Care Corrector/ Corretor	10,5ml	1,31 €	10			
17	0ECCA1	Nails	Treatments	Extreme Care Calcium/ Cálcio	10,5ml	1,31 €	10			
18	0ECC+1	Nails	Treatments	Andreia Nail Polish	10,5ml	1,34 €	10			
19	0ECB1	Nails	Treatments	Extreme Care Bitter / Amargo	10,5ml	1,31 €	10			
20	0ECH1	Nails	Treatments	Extreme Care Hardener / Endurecedor	10,5ml	1,58 €	10			
21	0ECSBC1	Nails	Base Coats	Extreme Care Strengthening Base Coat/ Base Fortificante	10,5ml	1,31 €	10			
22	0ECVBC1	Nails	Base Coats	Extreme Care Vitamin Base Coat / Base Vitaminada	10,5ml	1,31 €	10			
23	0ECPBC1	Nails	Base Coats	Extreme Care Proteins Base Coat 7 Base de Proteinas	10,5ml	1,31 €	10			
24	0ECCR1	Nails	Cuticles	Extreme Care Cuticule Remover / Removedor de Cuticulas	10,5ml	1,31 €	10			
25	0ECPO1	Nails	Cuticles	Extreme Care Protective Oil 7 óleo Protector	10,5ml	1,31 €	10			
26	0ECMCO1	Nails	Cuticles	Extreme Care Marula Cuticule Oil / óleo de Cuticulas de Marula	10,5ml	1,58 €	10			
27	0ECMACCO1	Nails	Cuticles	Extreme Care Macadamia Cuticule Oil 7/ óleo de Cuticulas de Macadamia	10,5ml	1,58 €	10			
28	0ECLCO1	Nails	Cuticles	Extreme Care Lemon Cuticule Oil / óleo de Cuticulas de Limão	10,5ml	1,58 €	10			
29				Andreia Extreme Effect						
30	0EEGLTC1	Nails	Complements	Extreme Effect Gel Look Top Coat/ Efeito Gel	10,5ml	1,34 €	10			
31	0EEMTC1	Nails	Complements	Extreme Effect Matte Look Top Coat / Efeito Mate	10,5ml	1,34 €	10			
32	0EESTC1	Nails	Complements	Extreme Effect Shine Top Coat/ Brilho	10,5ml	1,31 €	10			
33	0EEDTC1	Nails	Complements	Extreme Effect Dryer Top Coat / Secante	10,5ml	1,31 €	10			
34	0EEED1	Nails	Complements	Extreme Effect Drop Express Dry/ Secante Rápido	10,5ml	2,11 €	10			
35	0EEGPO1	Nails	Complements	Extreme Effect Gummy - Peel off	10,5ml	1,31 €	10			
36				Andreia Essentials						
37	0URV15	Nails	Remover	Removedor de Verniz com amaciador	150ml	1,18 €	10			
38	0URV50	Nails	Remover	Removedor de Verniz com amaciador	500ml	2,01 €	10			
39	0URV10	Nails	Remover	Removedor de Verniz com amaciador	1000ml	3,20 €	10			
40	0URVCC15	Nails	Remover	Removedor de verniz com amaciador - aroma a Coco	150ml	1,26 €	10			
41	0URVCC50	Nails	Remover	Removedor de verniz com amaciador - aroma a Coco	500ml	2,22 €	10			
42	0URVCC10	Nails	Remover	Removedor de verniz com amaciador - aroma a Coco	1000ml	3,48 €	10			
43	0URVSA15	Nails	Remover	Removedor de verniz sem acetona- Aroma  melão	150ml	1,79 €	10			
44	0URVSA50	Nails	Remover	Removedor de verniz sem acetona- Aroma  melão	500ml	3,85 €	10			
45	0URVSA10	Nails	Remover	Removedor de verniz sem acetona- Aroma  melão	1000ml	7,30 €	10			
46	0UAR1	Nails	Remover	Wow Removedor de verniz em Esponja	75ml	2,35 €	10			
47	0UDV5	Nails	Thinner	Verniz Diluente	50ml	2,77 €	10			
48	0UDV15	Nails	Thinner	Verniz Diluente	150ml	3,47 €	10			
49	0UQ5	Nails	Cuticles	Removedor de Cuticulas	50ml	2,45 €	10			
50				Andreia Hybrid Gel						
51	0UHGH…	Nails	Hybrid Gel	Hybrid Gel - Fusion Color - NEW	10,5ml	1,41 €	10			
52	0UHGFS2	Nails	Hybrid Gel	Hybrid Gel - Fusion Shine - NEW	10,5ml	2,23 €	10			
53				Andreia Gel Line						
54	0UAUBP01	Nails	Gel 	Ultrabond - Primer	10,5ml	1,56 €	10			
55	0UABTC01	Nails	Gel 	Base/Top Coat 2 em 1	10,5ml	3,00 €	10			
56	0UAGP...	Nails	Gel 	Verniz Gel	10,5ml	3,09 €	10			
57	0U1MGM...       	Nails	Gel 	1 Minute Gel 	10,5ml	4,17 €	10			
58	0UGPC1	Nails	Gel 	Cleanser 	50ml	1,63 €	10			
59	0UGPC25	Nails	Gel	Cleanser 	250ml	1,74 €	10			
60	0UGPC50	Nails	Gel	Cleanser 	500ml	3,09 €	10			
61	0UGPNC25	Nails	Gel	Cleanser Crystal Shine 250 ml	250ml	2,77 €	10			
62	0UGPNC50	Nails	Gel	Cleanser Crystal Shine 500 ml	500ml	4,73 €	10			
63	0URVG25	Nails	Gel	Removedor de Verniz Gel	250ml	1,82 €	10			
64	0URVG50	Nails	Gel	Removedor de Verniz Gel	500ml	2,66 €	10			
65				Andreia Profection Gel Builder						
66	0PBG1	Nails	Base Coats	Profection Base Gel 	22gr	5,42 €	10			
67	0PBG3/1C1	Nails	3 em 1	Profection Gel de Construção 3 in 1 - Clear 	22gr	6,18 €	10			
68	0PBG3/1C2	Nails	3 em 1	Profection Gel de Construção 3 in 1 - Clear 	44gr	10,07 €	10			
69	0PBG3/1SW1	Nails	3 em 1	Profection Gel de Construção 3 in 1 - Soft White	22gr	6,18 €	10			
70	0PBG3/1SW2	Nails	3 em 1	Profection Gel Builder 3 in 1 - Soft White	44gr	10,07 €	10			
71	0PKBG3/11	Nails	Kit	Profection kit -  Gel de Construção 3 in 1 3 in 1	1 un. 	18,39 €	10			
72	0PBGW1	Nails	Low Heat	Profection Gel de Construção - White 	22gr	5,42 €	10			
73	0PBGCP1	Nails	Low Heat	Profection Gel de Construção - Cover Pink	22gr	5,42 €	10			
74	0PBGC1	Nails	Low Heat	Profection Gel de Construção - Clear 	22gr	5,42 €	10			
75	0PBGC2	Nails	Low Heat	Profection Gel de Construção - Clear 	44gr	8,98 €	10			
76	0PBGSP1	Nails	Low Heat	Profection Gel de Construção - Soft Pink	22gr	5,42 €	10			
77	0PBGSP2	Nails	Low Heat	Profection Gel de Construção - Soft Pink	44gr	8,98 €	10			
78	0PBGSW1	Nails	Low Heat	Profection Gel de Construção - Soft White	22gr	5,42 €	10			
79	0PBGSW2	Nails	Low Heat	Profection Gel de Construção - Soft White	44gr	8,98 €	10			
80	0PKBG1	Nails	Kit	Profection kit -  Gel de Construção	1 un.	25,08 €	10			
81				Andreia Profection Acrylics						
82	0PAPW1	Nails	Acrylic Powder	Profection Pó acrilico - White	20gr	4,41 €	10			
83	0PAPW3	Nails	Acrylic Powder	Profection Pó acrilico - White - Branco 	340gr	16,25 €	10			
84	0PAPSW1	Nails	Acrylic Powder	Profection Pó acrilico - Soft White 	20gr	4,41 €	10			
85	0PAPSW2	Nails	Acrylic Powder	Profection Pó acrilico - Soft White 	35gr	5,87 €	10			
86	0PAPSW3	Nails	Acrylic Powder	Profection Pó acrilico - Soft White 	340gr	16,25 €	10			
87	0PAPC1	Nails	Acrylic Powder	Profection Pó acrilico - Clear 	20gr	4,41 €	10			
88	0PAPC2	Nails	Acrylic Powder	Profection Pó acrilico - Clear 	35gr	5,87 €	10			
89	0PAPSP1	Nails	Acrylic Powder	Profection Pó acrilico - Soft Pink 	22gr	4,41 €	10			
90	0PAPSP2	Nails	Acrylic Powder	Profection Pó acrilico - Soft Pink 	35gr	5,87 €	10			
91	0PAPSP3	Nails	Acrylic Powder	Profection Pó acrilico - Soft Pink 	340gr	16,25 €	10			
92	0PAPCP1	Nails	Acrylic Powder	Profection Pó acrilico - Cover Pink 	22gr	4,41 €	10			
93	0PAPCP2	Nails	Acrylic Powder	Profection Pó acrilico - Cover Pink 	35gr	5,87 €	10			
94	0PAPCP3	Nails	Acrylic Powder	Profection Pó acrilico - Cover Pink 	340gr	16,25 €	10			
95	0PALS1	Nails	Acrylic Liquid	Profection  Liquido acrilico - Secagem lenta	100ml	4,65 €	10			
96	0PALS2	Nails	Acrylic Liquid	Profection  Liquido acrilico - Secagem lenta	500ml	17,67 €	10			
97	0PALF1	Nails	Acrylic Liquid	Profection  Liquido acrilico - Secagem rápida	100ml	4,65 €	10			
98	0PALF2	Nails	Acrylic Liquid	Profection  Liquido acrilico - Secagem rápida	500ml	17,67 €	10			
99	0PKAB1	Nails	Kit	Profection kit - Acrilico para principiantes	1 un.	22,55 €	10			
100	0PKAP1	Nails	Kit	Profection kit - Acrilico para profissionais	1 un.	22,55 €	10			
101				Andreia Profection Acrylic & Gel						
102	0PPGA1	Nails	Complements	Profection Primer para Gel & Acrylic	10,5ml	1,42 €	10			
103	0PTCMGA1	Nails	Complements	Profection Top Coat Matte para Gel & Acrylic - NEW	10,5ml	3,52 €	10			
104	0PTCGA1	Nails	Complements	Profection Top Coat para Gel & Acrylic	10,5ml	3,01 €	10			
105	0PTCGANTL1	Nails	Complements	Profection Top Coat para Gel & Acrylic (No Tacky Layer) - sem goma	10,5ml	3,15 €	10			
106	0PPPGA1	Nails	Preparation	Profection Prep para Gel & Acrylic 	250ml	2,00 €	10			
107	0PPPGA2	Nails	Preparation	Profection Prep para Gel & Acrylic 	500ml	3,06 €	10			
108	0PEGCGA1	Nails	Cleanser	Profection Extra Glow Cleanser para Gel & Acrylic 	250ml	2,79 €	10			
109	0PEGCGA2	Nails	Cleanser	Profection Extra Glow Cleanser para Gel & Acrylic 	500ml	4,47 €	10			
110				Andreia Accessories						
111	0UT1	Nails	Accessories	Toalha	1 un.	2,47 €	10			
112	0UNF1	Nails	Accessories	Lima	1 un.	0,60 €	10			
113	0UB1	Nails	Accessories	Buffer	1 un.	1,16 €	10			
114	1ANGL1	Nails	Accessories	a. Lamp - Catalisador de última geração LED/UV	1 un.	41,60 €	10			
